country_code,country,indicator_code,indicator,year,value,source,api_url
HKG,"Hong Kong SAR, China",NY.GDP.PCAP.CD,gdp_per_capita_current_usd,2024,54274.7547767073,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/NY.GDP.PCAP.CD?format=json&per_page=1000&date=2024%3A2024
IDN,Indonesia,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,2024,4925.43644992666,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/NY.GDP.PCAP.CD?format=json&per_page=1000&date=2024%3A2024
MYS,Malaysia,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,2024,11874.4273684245,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/NY.GDP.PCAP.CD?format=json&per_page=1000&date=2024%3A2024
SGP,Singapore,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,2024,94896.5621495988,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/NY.GDP.PCAP.CD?format=json&per_page=1000&date=2024%3A2024
THA,Thailand,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,2024,7386.63615126055,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/NY.GDP.PCAP.CD?format=json&per_page=1000&date=2024%3A2024
VNM,Vietnam,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,2024,4716.6599379632,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/NY.GDP.PCAP.CD?format=json&per_page=1000&date=2024%3A2024
HKG,"Hong Kong SAR, China",IT.NET.USER.ZS,internet_users_pct,2024,95.75536971,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/IT.NET.USER.ZS?format=json&per_page=1000&date=2024%3A2024
IDN,Indonesia,IT.NET.USER.ZS,internet_users_pct,2024,72.78075544,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/IT.NET.USER.ZS?format=json&per_page=1000&date=2024%3A2024
MYS,Malaysia,IT.NET.USER.ZS,internet_users_pct,2024,98.0206059,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/IT.NET.USER.ZS?format=json&per_page=1000&date=2024%3A2024
SGP,Singapore,IT.NET.USER.ZS,internet_users_pct,2024,94.37757178,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/IT.NET.USER.ZS?format=json&per_page=1000&date=2024%3A2024
THA,Thailand,IT.NET.USER.ZS,internet_users_pct,2024,90.86718789,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/IT.NET.USER.ZS?format=json&per_page=1000&date=2024%3A2024
VNM,Vietnam,IT.NET.USER.ZS,internet_users_pct,2024,84.15,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/IT.NET.USER.ZS?format=json&per_page=1000&date=2024%3A2024
HKG,"Hong Kong SAR, China",NY.GDP.MKTP.CD,gdp_current_usd,2024,408368682415.423,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/NY.GDP.MKTP.CD?format=json&per_page=1000&date=2024%3A2024
IDN,Indonesia,NY.GDP.MKTP.CD,gdp_current_usd,2024,1396301788461.69,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/NY.GDP.MKTP.CD?format=json&per_page=1000&date=2024%3A2024
MYS,Malaysia,NY.GDP.MKTP.CD,gdp_current_usd,2024,422227005428.688,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/NY.GDP.MKTP.CD?format=json&per_page=1000&date=2024%3A2024
SGP,Singapore,NY.GDP.MKTP.CD,gdp_current_usd,2024,572877260178.427,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/NY.GDP.MKTP.CD?format=json&per_page=1000&date=2024%3A2024
THA,Thailand,NY.GDP.MKTP.CD,gdp_current_usd,2024,529385520941.539,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/NY.GDP.MKTP.CD?format=json&per_page=1000&date=2024%3A2024
VNM,Vietnam,NY.GDP.MKTP.CD,gdp_current_usd,2024,476324572783.807,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/NY.GDP.MKTP.CD?format=json&per_page=1000&date=2024%3A2024
HKG,"Hong Kong SAR, China",SP.URB.TOTL.IN.ZS,urban_population_pct,2024,100.0,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=1000&date=2024%3A2024
IDN,Indonesia,SP.URB.TOTL.IN.ZS,urban_population_pct,2024,58.7509635387997,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=1000&date=2024%3A2024
MYS,Malaysia,SP.URB.TOTL.IN.ZS,urban_population_pct,2024,76.9170296648992,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=1000&date=2024%3A2024
SGP,Singapore,SP.URB.TOTL.IN.ZS,urban_population_pct,2024,100.0,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=1000&date=2024%3A2024
THA,Thailand,SP.URB.TOTL.IN.ZS,urban_population_pct,2024,61.8689338391321,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=1000&date=2024%3A2024
VNM,Vietnam,SP.URB.TOTL.IN.ZS,urban_population_pct,2024,38.4900703430176,World Development Indicators via World Bank API,https://api.worldbank.org/v2/country/HKG;SGP;THA;MYS;VNM;IDN/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=1000&date=2024%3A2024
